mouse_consent.x,mouse_consent.y,mouse_consent.leftButton,mouse_consent.midButton,mouse_consent.rightButton,mouse_consent.time,mouse_consent.clicked_name,key_resp_introduction.keys,key_resp_introduction.rt,key_resp_instructions.keys,key_resp_instructions.rt,example_resp.keys,example_resp.rt,example_resp_2.keys,example_resp_2.rt,pol1,pol2,pol3,pol4,pol5,pol6,key_resp_monotonicity.keys,key_resp_monotonicity.corr,key_resp_monotonicity.rt,condition.thisRepN,condition.thisTrialN,condition.thisN,condition.thisIndex,condition.ran,condition.order,condFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,obj1,obj2,obj3,obj4,obj5,obj6,corrAns,quantifier,target,Prolific_ID*,gender,age,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,break_look.thisRepN,break_look.thisTrialN,break_look.thisN,break_look.thisIndex,break_look.ran,break_look.order,key_resp_instruction_test.keys,key_resp_instruction_test.rt,size_rep.keys,size_rep.rt,rep_test.keys,rep_test.corr,rep_test.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_trials.order,s1,s2,s3,s4,s5,s6,col,typedWord
0.365740778,-0.405555583,1,0,0,1.34800005,consent_button,space,5.818000078,space,17.90700006,space,4.416999817,space,5.287999868,"[0.3,0]","[-0.3,0]","[0.5,0]","[-0.1,0]","[0.1,0]","[-0.5,0]",m,1,4.600999832,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,5,1,11,red,red,red,red,red,red,m,noncon,red,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[-0.3,0]","[0.5,0]","[-0.5,0]","[0.1,0]","[-0.1,0]",m,0,6.936999798,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,2,1,11,blue,blue,blue,red,red,red,c,noncon,red,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[-0.5,0]","[0.3,0]","[-0.3,0]","[-0.1,0]","[0.5,0]",m,1,6.174999952,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,0,1,11,blue,blue,blue,blue,blue,red,m,noncon,red,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.1,0]","[-0.5,0]","[-0.1,0]","[0.3,0]","[0.5,0]",c,1,1.81099987,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,4,1,11,blue,red,red,red,red,red,c,noncon,red,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[-0.3,0]","[0.3,0]","[0.5,0]","[0.1,0]","[-0.1,0]",m,1,2.285999775,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,1,1,11,blue,blue,blue,blue,red,red,m,noncon,red,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.3,0]","[-0.5,0]","[-0.1,0]","[0.1,0]","[0.5,0]",c,1,6.430999994,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,3,1,11,blue,blue,red,red,red,red,c,noncon,red,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[-0.1,0]","[-0.3,0]","[0.1,0]","[0.3,0]","[0.5,0]",m,0,2.123999834,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,3,1,11,blue,blue,red,red,red,red,c,noncon,red,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[-0.1,0]","[0.5,0]","[0.3,0]","[0.1,0]","[-0.3,0]",m,1,2.066999912,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,0,1,11,blue,blue,blue,blue,blue,red,m,noncon,red,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[0.3,0]","[-0.5,0]","[-0.1,0]","[-0.3,0]","[0.1,0]",m,1,2.845999956,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,1,1,11,blue,blue,blue,blue,red,red,m,noncon,red,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[-0.5,0]","[0.5,0]","[0.1,0]","[0.3,0]","[-0.1,0]",c,0,4.194999933,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,5,1,11,red,red,red,red,red,red,m,noncon,red,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.5,0]","[-0.1,0]","[0.1,0]","[-0.5,0]","[0.3,0]",m,0,0.945999861,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,4,1,11,blue,red,red,red,red,red,c,noncon,red,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[0.1,0]","[0.5,0]","[-0.1,0]","[-0.3,0]","[-0.5,0]",m,0,1.167999983,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,2,1,11,blue,blue,blue,red,red,red,c,noncon,red,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,0,1,7,non_convex_b1_v2.xlsx,,,,,,,,,,,,,,,,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,space,1.238999844,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,0,1,7,non_convex_b1_v2.xlsx,,,,,,,,,,,,,,,,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[-0.5,0]","[0.5,0]","[-0.1,0]","[0.3,0]","[0.1,0]",m,0,3.231999874,1,0,8,7,1,7,non_convex_b8_v2.xlsx,2,0,12,3,1,11,yellow,yellow,blue,blue,blue,blue,c,noncon,blue,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[0.5,0]","[0.1,0]","[-0.3,0]","[-0.1,0]","[-0.5,0]",c,1,2.754999876,1,0,8,7,1,7,non_convex_b8_v2.xlsx,2,0,12,2,1,11,yellow,yellow,yellow,blue,blue,blue,c,noncon,blue,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[0.5,0]","[-0.5,0]","[0.3,0]","[-0.1,0]","[-0.3,0]",m,1,1.386999846,1,0,8,7,1,7,non_convex_b8_v2.xlsx,2,0,12,5,1,11,blue,blue,blue,blue,blue,blue,m,noncon,blue,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[-0.5,0]","[-0.1,0]","[-0.3,0]","[0.1,0]","[0.5,0]",c,0,7.977999926,1,0,8,7,1,7,non_convex_b8_v2.xlsx,2,0,12,0,1,11,yellow,yellow,yellow,yellow,yellow,blue,m,noncon,blue,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[0.5,0]","[-0.5,0]","[-0.3,0]","[0.1,0]","[-0.1,0]",c,0,1.712000132,1,0,8,7,1,7,non_convex_b8_v2.xlsx,2,0,12,1,1,11,yellow,yellow,yellow,yellow,blue,blue,m,noncon,blue,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[0.3,0]","[0.1,0]","[-0.5,0]","[-0.3,0]","[-0.1,0]",m,0,0.828999758,1,0,8,7,1,7,non_convex_b8_v2.xlsx,2,0,12,4,1,11,yellow,blue,blue,blue,blue,blue,c,noncon,blue,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[0.1,0]","[-0.1,0]","[-0.3,0]","[0.5,0]","[-0.5,0]",m,0,1.014999866,1,0,8,7,1,7,non_convex_b8_v2.xlsx,2,0,12,3,1,11,yellow,yellow,blue,blue,blue,blue,c,noncon,blue,5bc39907541063000128a24c,Female,28,2020-03-26_15h16.54.561,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
