mouse_consent.x,mouse_consent.y,mouse_consent.leftButton,mouse_consent.midButton,mouse_consent.rightButton,mouse_consent.time,mouse_consent.clicked_name,key_resp_introduction.keys,key_resp_introduction.rt,key_resp_instructions.keys,key_resp_instructions.rt,example_resp.keys,example_resp.rt,example_resp_2.keys,example_resp_2.rt,pol1,pol2,pol3,pol4,pol5,pol6,key_resp_monotonicity.keys,key_resp_monotonicity.corr,key_resp_monotonicity.rt,condition.thisRepN,condition.thisTrialN,condition.thisN,condition.thisIndex,condition.ran,condition.order,condFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,obj1,obj2,obj3,obj4,obj5,obj6,corrAns,quantifier,target,Prolific_ID*,gender,age,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,break_look.thisRepN,break_look.thisTrialN,break_look.thisN,break_look.thisIndex,break_look.ran,break_look.order,key_resp_instruction_test.keys,key_resp_instruction_test.rt,size_rep.keys,size_rep.rt,rep_test.keys,rep_test.corr,rep_test.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_trials.order,s1,s2,s3,s4,s5,s6,col,typedWord
0.377777816,-0.38333336,1,0,0,4.879000187,consent_button,space,9.305999994,space,33.88800001,space,7.790999889,space,9.119999886,"[0.3,0]","[-0.1,0]","[-0.3,0]","[0.5,0]","[-0.5,0]","[0.1,0]",c,0,16.36299992,1,0,8,5,1,7,non_convex_b6.xlsx,2,0,12,3,1,11,yellow,yellow,green,green,green,green,m,noncov,green,5bd888d75e184c000165e254,m,37,2020-03-26_15h20.11.160,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[0.5,0]","[-0.3,0]","[0.3,0]","[-0.1,0]","[-0.5,0]",m,0,9.368000031,1,0,8,5,1,7,non_convex_b6.xlsx,2,0,12,0,1,11,yellow,yellow,yellow,yellow,yellow,green,c,noncov,green,5bd888d75e184c000165e254,m,37,2020-03-26_15h20.11.160,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[0.5,0]","[-0.3,0]","[-0.1,0]","[0.1,0]","[-0.5,0]",c,0,9.865999937,1,0,8,5,1,7,non_convex_b6.xlsx,2,0,12,4,1,11,yellow,green,green,green,green,green,m,noncov,green,5bd888d75e184c000165e254,m,37,2020-03-26_15h20.11.160,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[0.3,0]","[0.1,0]","[-0.1,0]","[-0.5,0]","[-0.3,0]",c,0,6.851000071,1,0,8,5,1,7,non_convex_b6.xlsx,2,0,12,2,1,11,yellow,yellow,yellow,green,green,green,m,noncov,green,5bd888d75e184c000165e254,m,37,2020-03-26_15h20.11.160,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[0.1,0]","[-0.3,0]","[0.3,0]","[-0.1,0]","[-0.5,0]",c,1,2.434999943,1,0,8,5,1,7,non_convex_b6.xlsx,2,0,12,5,1,11,green,green,green,green,green,green,c,noncov,green,5bd888d75e184c000165e254,m,37,2020-03-26_15h20.11.160,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[0.5,0]","[-0.5,0]","[-0.1,0]","[0.3,0]","[-0.3,0]",m,0,5.034999847,1,0,8,5,1,7,non_convex_b6.xlsx,2,0,12,1,1,11,yellow,yellow,yellow,yellow,green,green,c,noncov,green,5bd888d75e184c000165e254,m,37,2020-03-26_15h20.11.160,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.5,0]","[0.1,0]","[-0.1,0]","[-0.5,0]","[0.3,0]",c,1,3.70600009,1,0,8,5,1,7,non_convex_b6.xlsx,2,0,12,1,1,11,yellow,yellow,yellow,yellow,green,green,c,noncov,green,5bd888d75e184c000165e254,m,37,2020-03-26_15h20.11.160,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[-0.5,0]","[0.3,0]","[-0.1,0]","[-0.3,0]","[0.5,0]",c,0,5.553999901,1,0,8,5,1,7,non_convex_b6.xlsx,2,0,12,3,1,11,yellow,yellow,green,green,green,green,m,noncov,green,5bd888d75e184c000165e254,m,37,2020-03-26_15h20.11.160,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[-0.1,0]","[-0.5,0]","[0.3,0]","[0.1,0]","[-0.3,0]",m,0,1.929999828,1,0,8,5,1,7,non_convex_b6.xlsx,2,0,12,0,1,11,yellow,yellow,yellow,yellow,yellow,green,c,noncov,green,5bd888d75e184c000165e254,m,37,2020-03-26_15h20.11.160,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.1,0]","[-0.1,0]","[0.3,0]","[0.5,0]","[-0.5,0]",c,1,1.525999784,1,0,8,5,1,7,non_convex_b6.xlsx,2,0,12,5,1,11,green,green,green,green,green,green,c,noncov,green,5bd888d75e184c000165e254,m,37,2020-03-26_15h20.11.160,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[-0.1,0]","[-0.5,0]","[0.3,0]","[-0.3,0]","[0.5,0]",c,0,1.559999943,1,0,8,5,1,7,non_convex_b6.xlsx,2,0,12,4,1,11,yellow,green,green,green,green,green,m,noncov,green,5bd888d75e184c000165e254,m,37,2020-03-26_15h20.11.160,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.1,0]","[0.3,0]","[-0.5,0]","[0.5,0]","[-0.1,0]",c,0,2.221999884,1,0,8,5,1,7,non_convex_b6.xlsx,2,0,12,2,1,11,yellow,yellow,yellow,green,green,green,m,noncov,green,5bd888d75e184c000165e254,m,37,2020-03-26_15h20.11.160,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,5,1,7,non_convex_b6.xlsx,,,,,,,,,,,,,,,,5bd888d75e184c000165e254,m,37,2020-03-26_15h20.11.160,non-convex_v1,3.2.4,Win32,60,space,2.062999964,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
