mouse_consent.x,mouse_consent.y,mouse_consent.leftButton,mouse_consent.midButton,mouse_consent.rightButton,mouse_consent.time,mouse_consent.clicked_name,key_resp_introduction.keys,key_resp_introduction.rt,key_resp_instructions.keys,key_resp_instructions.rt,example_resp.keys,example_resp.rt,example_resp_2.keys,example_resp_2.rt,pol1,pol2,pol3,pol4,pol5,pol6,key_resp_monotonicity.keys,key_resp_monotonicity.corr,key_resp_monotonicity.rt,condition.thisRepN,condition.thisTrialN,condition.thisN,condition.thisIndex,condition.ran,condition.order,condFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,obj1,obj2,obj3,obj4,obj5,obj6,corrAns,quantifier,target,Prolific_ID*,gender,age,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,break_look.thisRepN,break_look.thisTrialN,break_look.thisN,break_look.thisIndex,break_look.ran,break_look.order,key_resp_instruction_test.keys,key_resp_instruction_test.rt,size_rep.keys,size_rep.rt,rep_test.keys,rep_test.corr,rep_test.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_trials.order,s1,s2,s3,s4,s5,s6,col,typedWord
0.494952535,-0.127708258,1,0,0,6.082000017,consent_button,space,3.319000006,space,58.01400018,space,7.391000032,space,4.66899991,"[-0.1,0]","[0.5,0]","[0.3,0]","[0.1,0]","[-0.3,0]","[-0.5,0]",m,1,3.696999788,1,0,8,7,1,7,monotonicity_b8_UE.xlsx,2,0,12,1,1,11,yellow,yellow,yellow,yellow,blue,blue,m,UE,blue,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[0.5,0]","[0.3,0]","[0.1,0]","[-0.3,0]","[-0.5,0]",c,1,1.279000044,1,0,8,7,1,7,monotonicity_b8_UE.xlsx,2,0,12,4,1,11,yellow,blue,blue,blue,blue,blue,c,UE,blue,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.5,0]","[-0.1,0]","[-0.5,0]","[0.3,0]","[0.1,0]",c,1,1.812999964,1,0,8,7,1,7,monotonicity_b8_UE.xlsx,2,0,12,3,1,11,yellow,yellow,blue,blue,blue,blue,c,UE,blue,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[-0.1,0]","[-0.3,0]","[-0.5,0]","[0.5,0]","[0.1,0]",c,1,0.997999907,1,0,8,7,1,7,monotonicity_b8_UE.xlsx,2,0,12,5,1,11,blue,blue,blue,blue,blue,blue,c,UE,blue,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[0.5,0]","[-0.3,0]","[0.3,0]","[0.1,0]","[-0.5,0]",m,1,1.399000168,1,0,8,7,1,7,monotonicity_b8_UE.xlsx,2,0,12,0,1,11,yellow,yellow,yellow,yellow,yellow,blue,m,UE,blue,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[-0.5,0]","[-0.3,0]","[-0.1,0]","[0.1,0]","[0.3,0]",c,0,1,1,0,8,7,1,7,monotonicity_b8_UE.xlsx,2,0,12,2,1,11,yellow,yellow,yellow,blue,blue,blue,m,UE,blue,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[0.1,0]","[-0.1,0]","[-0.5,0]","[-0.3,0]","[0.5,0]",c,1,1.106999874,1,0,8,7,1,7,monotonicity_b8_UE.xlsx,2,0,12,5,1,11,blue,blue,blue,blue,blue,blue,c,UE,blue,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[0.1,0]","[0.5,0]","[-0.1,0]","[-0.3,0]","[-0.5,0]",m,1,2.079999924,1,0,8,7,1,7,monotonicity_b8_UE.xlsx,2,0,12,2,1,11,yellow,yellow,yellow,blue,blue,blue,m,UE,blue,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[-0.1,0]","[0.5,0]","[-0.5,0]","[0.1,0]","[-0.3,0]",c,1,1.499000072,1,0,8,7,1,7,monotonicity_b8_UE.xlsx,2,0,12,3,1,11,yellow,yellow,blue,blue,blue,blue,c,UE,blue,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[0.1,0]","[-0.3,0]","[-0.1,0]","[0.3,0]","[-0.5,0]",c,1,0.797999859,1,0,8,7,1,7,monotonicity_b8_UE.xlsx,2,0,12,4,1,11,yellow,blue,blue,blue,blue,blue,c,UE,blue,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[0.5,0]","[0.3,0]","[-0.3,0]","[-0.5,0]","[0.1,0]",m,1,1.049000025,1,0,8,7,1,7,monotonicity_b8_UE.xlsx,2,0,12,1,1,11,yellow,yellow,yellow,yellow,blue,blue,m,UE,blue,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[-0.3,0]","[0.5,0]","[0.1,0]","[0.3,0]","[-0.5,0]",m,1,1.380000114,1,0,8,7,1,7,monotonicity_b8_UE.xlsx,2,0,12,0,1,11,yellow,yellow,yellow,yellow,yellow,blue,m,UE,blue,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,7,1,7,monotonicity_b8_UE.xlsx,,,,,,,,,,,,,,,,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,space,0.848999977,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,7,1,7,monotonicity_b8_UE.xlsx,,,,,,,,,,,,,,,,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[-0.1,0]","[-0.5,0]","[-0.3,0]","[0.3,0]","[0.5,0]",m,1,1.791000128,1,0,8,2,1,7,monotonicity_b3_UE.xlsx,2,0,12,0,1,11,green,green,green,green,green,red,m,UE,red,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[-0.5,0]","[0.1,0]","[0.5,0]","[0.3,0]","[-0.3,0]",c,1,0.848999977,1,0,8,2,1,7,monotonicity_b3_UE.xlsx,2,0,12,3,1,11,green,green,red,red,red,red,c,UE,red,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[0.3,0]","[-0.5,0]","[0.5,0]","[-0.1,0]","[-0.3,0]",c,1,0.86500001,1,0,8,2,1,7,monotonicity_b3_UE.xlsx,2,0,12,4,1,11,green,red,red,red,red,red,c,UE,red,5c28d34f664ccc000127be3c,female,27,2020-03-24_17h55.38.345,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
