mouse_consent.x,mouse_consent.y,mouse_consent.leftButton,mouse_consent.midButton,mouse_consent.rightButton,mouse_consent.time,mouse_consent.clicked_name,key_resp_introduction.keys,key_resp_introduction.rt,key_resp_instructions.keys,key_resp_instructions.rt,example_resp.keys,example_resp.rt,example_resp_2.keys,example_resp_2.rt,pol1,pol2,pol3,pol4,pol5,pol6,key_resp_monotonicity.keys,key_resp_monotonicity.corr,key_resp_monotonicity.rt,condition.thisRepN,condition.thisTrialN,condition.thisN,condition.thisIndex,condition.ran,condition.order,condFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,obj1,obj2,obj3,obj4,obj5,obj6,corrAns,quantifier,target,Prolific_ID*,gender,age,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,break_look.thisRepN,break_look.thisTrialN,break_look.thisN,break_look.thisIndex,break_look.ran,break_look.order,key_resp_instruction_test.keys,key_resp_instruction_test.rt,size_rep.keys,size_rep.rt,rep_test.keys,rep_test.corr,rep_test.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_trials.order,s1,s2,s3,s4,s5,s6,col,typedWord
0.3515625,-0.375,1,0,0,2.479000092,consent_button,space,6.031999826,space,29.92199993,space,6.953999996,space,11.796,"[0.3,0]","[-0.3,0]","[0.5,0]","[-0.5,0]","[0.1,0]","[-0.1,0]",m,0,8.764999866,1,0,8,7,1,7,monotonicity_b8_UE_v2.xlsx,2,0,12,1,1,11,yellow,yellow,yellow,yellow,blue,blue,c,UE,blue,5e03e20e4cac68ec33187d80,female,27,2020-03-24_13h56.17.356,monotonicicty_v2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[0.3,0]","[0.1,0]","[-0.3,0]","[-0.5,0]","[-0.1,0]",c,1,5.587000132,1,0,8,7,1,7,monotonicity_b8_UE_v2.xlsx,2,0,12,2,1,11,yellow,yellow,yellow,blue,blue,blue,c,UE,blue,5e03e20e4cac68ec33187d80,female,27,2020-03-24_13h56.17.356,monotonicicty_v2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[-0.5,0]","[0.5,0]","[0.1,0]","[0.3,0]","[-0.3,0]",c,0,3.374000072,1,0,8,7,1,7,monotonicity_b8_UE_v2.xlsx,2,0,12,3,1,11,yellow,yellow,blue,blue,blue,blue,m,UE,blue,5e03e20e4cac68ec33187d80,female,27,2020-03-24_13h56.17.356,monotonicicty_v2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[0.3,0]","[0.1,0]","[-0.3,0]","[-0.1,0]","[-0.5,0]",m,1,1.920999765,1,0,8,7,1,7,monotonicity_b8_UE_v2.xlsx,2,0,12,5,1,11,blue,blue,blue,blue,blue,blue,m,UE,blue,5e03e20e4cac68ec33187d80,female,27,2020-03-24_13h56.17.356,monotonicicty_v2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[0.5,0]","[-0.3,0]","[-0.1,0]","[0.3,0]","[-0.5,0]",c,1,4.424000025,1,0,8,7,1,7,monotonicity_b8_UE_v2.xlsx,2,0,12,0,1,11,yellow,yellow,yellow,yellow,yellow,blue,c,UE,blue,5e03e20e4cac68ec33187d80,female,27,2020-03-24_13h56.17.356,monotonicicty_v2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[-0.1,0]","[0.1,0]","[-0.3,0]","[0.3,0]","[0.5,0]",m,1,4.216999769,1,0,8,7,1,7,monotonicity_b8_UE_v2.xlsx,2,0,12,4,1,11,yellow,blue,blue,blue,blue,blue,m,UE,blue,5e03e20e4cac68ec33187d80,female,27,2020-03-24_13h56.17.356,monotonicicty_v2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[0.3,0]","[0.1,0]","[-0.3,0]","[0.5,0]","[-0.1,0]",c,0,4.016000032,1,0,8,7,1,7,monotonicity_b8_UE_v2.xlsx,2,0,12,3,1,11,yellow,yellow,blue,blue,blue,blue,m,UE,blue,5e03e20e4cac68ec33187d80,female,27,2020-03-24_13h56.17.356,monotonicicty_v2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[-0.3,0]","[0.1,0]","[0.3,0]","[-0.5,0]","[0.5,0]",c,1,3.507999897,1,0,8,7,1,7,monotonicity_b8_UE_v2.xlsx,2,0,12,0,1,11,yellow,yellow,yellow,yellow,yellow,blue,c,UE,blue,5e03e20e4cac68ec33187d80,female,27,2020-03-24_13h56.17.356,monotonicicty_v2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[0.5,0]","[-0.5,0]","[0.3,0]","[-0.1,0]","[-0.3,0]",m,1,1.899999857,1,0,8,7,1,7,monotonicity_b8_UE_v2.xlsx,2,0,12,4,1,11,yellow,blue,blue,blue,blue,blue,m,UE,blue,5e03e20e4cac68ec33187d80,female,27,2020-03-24_13h56.17.356,monotonicicty_v2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[0.5,0]","[-0.3,0]","[-0.5,0]","[0.1,0]","[-0.1,0]",m,0,1.936999798,1,0,8,7,1,7,monotonicity_b8_UE_v2.xlsx,2,0,12,2,1,11,yellow,yellow,yellow,blue,blue,blue,c,UE,blue,5e03e20e4cac68ec33187d80,female,27,2020-03-24_13h56.17.356,monotonicicty_v2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
