mouse_consent.x,mouse_consent.y,mouse_consent.leftButton,mouse_consent.midButton,mouse_consent.rightButton,mouse_consent.time,mouse_consent.clicked_name,key_resp_introduction.keys,key_resp_introduction.rt,key_resp_instructions.keys,key_resp_instructions.rt,example_resp.keys,example_resp.rt,example_resp_2.keys,example_resp_2.rt,pol1,pol2,pol3,pol4,pol5,pol6,key_resp_monotonicity.keys,key_resp_monotonicity.corr,key_resp_monotonicity.rt,condition.thisRepN,condition.thisTrialN,condition.thisN,condition.thisIndex,condition.ran,condition.order,condFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,obj1,obj2,obj3,obj4,obj5,obj6,corrAns,quantifier,target,Prolific_ID*,gender,age,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,break_look.thisRepN,break_look.thisTrialN,break_look.thisN,break_look.thisIndex,break_look.ran,break_look.order,key_resp_instruction_test.keys,key_resp_instruction_test.rt,size_rep.keys,size_rep.rt,rep_test.keys,rep_test.corr,rep_test.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_trials.order,s1,s2,s3,s4,s5,s6,col,typedWord
0.418888889,-0.398888889,1,0,0,2.07400012,consent_button,space,5.851999998,space,24.54399991,space,12.22000003,space,9.752000093,"[-0.5,0]","[0.5,0]","[-0.3,0]","[0.1,0]","[-0.1,0]","[0.3,0]",m,0,14.99099994,1,0,8,1,1,7,monotonicity_b2_UE.xlsx,2,0,12,4,1,11,green,yellow,yellow,yellow,yellow,yellow,c,UE,yellow,5cc48c234bb96d00018a8bfe,male,29,2020-03-24_17h56.14.023,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[-0.3,0]","[-0.1,0]","[-0.5,0]","[0.1,0]","[0.3,0]",m,1,7.440999985,1,0,8,1,1,7,monotonicity_b2_UE.xlsx,2,0,12,0,1,11,green,green,green,green,green,yellow,m,UE,yellow,5cc48c234bb96d00018a8bfe,male,29,2020-03-24_17h56.14.023,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[0.1,0]","[0.3,0]","[-0.3,0]","[0.5,0]","[-0.5,0]",c,0,2.539999723,1,0,8,1,1,7,monotonicity_b2_UE.xlsx,2,0,12,1,1,11,green,green,green,green,yellow,yellow,m,UE,yellow,5cc48c234bb96d00018a8bfe,male,29,2020-03-24_17h56.14.023,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.3,0]","[-0.5,0]","[-0.1,0]","[0.5,0]","[0.1,0]",m,0,1.792999744,1,0,8,1,1,7,monotonicity_b2_UE.xlsx,2,0,12,3,1,11,green,green,yellow,yellow,yellow,yellow,c,UE,yellow,5cc48c234bb96d00018a8bfe,male,29,2020-03-24_17h56.14.023,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[0.5,0]","[0.3,0]","[-0.5,0]","[-0.1,0]","[-0.3,0]",c,1,2.472000122,1,0,8,1,1,7,monotonicity_b2_UE.xlsx,2,0,12,5,1,11,yellow,yellow,yellow,yellow,yellow,yellow,c,UE,yellow,5cc48c234bb96d00018a8bfe,male,29,2020-03-24_17h56.14.023,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[0.1,0]","[-0.1,0]","[0.3,0]","[-0.3,0]","[0.5,0]",m,1,2.806999922,1,0,8,1,1,7,monotonicity_b2_UE.xlsx,2,0,12,2,1,11,green,green,green,yellow,yellow,yellow,m,UE,yellow,5cc48c234bb96d00018a8bfe,male,29,2020-03-24_17h56.14.023,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[-0.5,0]","[-0.3,0]","[0.3,0]","[0.5,0]","[-0.1,0]",m,1,2.018999815,1,0,8,1,1,7,monotonicity_b2_UE.xlsx,2,0,12,2,1,11,green,green,green,yellow,yellow,yellow,m,UE,yellow,5cc48c234bb96d00018a8bfe,male,29,2020-03-24_17h56.14.023,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[-0.1,0]","[-0.3,0]","[0.5,0]","[0.1,0]","[-0.5,0]",c,1,1.430000067,1,0,8,1,1,7,monotonicity_b2_UE.xlsx,2,0,12,4,1,11,green,yellow,yellow,yellow,yellow,yellow,c,UE,yellow,5cc48c234bb96d00018a8bfe,male,29,2020-03-24_17h56.14.023,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[0.5,0]","[0.1,0]","[-0.3,0]","[-0.1,0]","[0.3,0]",c,1,0.85800004,1,0,8,1,1,7,monotonicity_b2_UE.xlsx,2,0,12,5,1,11,yellow,yellow,yellow,yellow,yellow,yellow,c,UE,yellow,5cc48c234bb96d00018a8bfe,male,29,2020-03-24_17h56.14.023,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[0.1,0]","[0.3,0]","[0.5,0]","[-0.5,0]","[-0.3,0]",m,1,1.069000006,1,0,8,1,1,7,monotonicity_b2_UE.xlsx,2,0,12,0,1,11,green,green,green,green,green,yellow,m,UE,yellow,5cc48c234bb96d00018a8bfe,male,29,2020-03-24_17h56.14.023,monotonicicty_v2,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
