mouse_consent.x,mouse_consent.y,mouse_consent.leftButton,mouse_consent.midButton,mouse_consent.rightButton,mouse_consent.time,mouse_consent.clicked_name,key_resp_introduction.keys,key_resp_introduction.rt,key_resp_instructions.keys,key_resp_instructions.rt,example_resp.keys,example_resp.rt,example_resp_2.keys,example_resp_2.rt,pol1,pol2,pol3,pol4,pol5,pol6,key_resp_monotonicity.keys,key_resp_monotonicity.corr,key_resp_monotonicity.rt,condition.thisRepN,condition.thisTrialN,condition.thisN,condition.thisIndex,condition.ran,condition.order,condFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,obj1,obj2,obj3,obj4,obj5,obj6,corrAns,quantifier,target,Prolific_ID*,gender,age,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,break_look.thisRepN,break_look.thisTrialN,break_look.thisN,break_look.thisIndex,break_look.ran,break_look.order,key_resp_instruction_test.keys,key_resp_instruction_test.rt,size_rep.keys,size_rep.rt,rep_test.keys,rep_test.corr,rep_test.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_trials.order,s1,s2,s3,s4,s5,s6,col,typedWord
0.410185185,-0.361111111,1,0,0,1.119999886,consent_button,space,6.348999977,space,18.99300003,space,6.40899992,space,3.092000008,"[0.1,0]","[0.5,0]","[-0.5,0]","[-0.1,0]","[0.3,0]","[-0.3,0]",m,1,2.356000185,1,0,8,3,1,7,monotonicity_b4_non.xlsx,2,0,12,4,1,11,blue,yellow,yellow,yellow,yellow,yellow,m,non,yellow,5671f601980a3c000d27721c,male,23,2020-03-25_15h21.29.719,non-monotone_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[-0.3,0]","[-0.5,0]","[0.5,0]","[0.3,0]","[0.1,0]",m,0,1.980000019,1,0,8,3,1,7,monotonicity_b4_non.xlsx,2,0,12,2,1,11,blue,blue,blue,yellow,yellow,yellow,c,non,yellow,5671f601980a3c000d27721c,male,23,2020-03-25_15h21.29.719,non-monotone_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[-0.1,0]","[-0.3,0]","[0.5,0]","[0.1,0]","[-0.5,0]",c,1,1.786999941,1,0,8,3,1,7,monotonicity_b4_non.xlsx,2,0,12,1,1,11,blue,blue,blue,blue,yellow,yellow,c,non,yellow,5671f601980a3c000d27721c,male,23,2020-03-25_15h21.29.719,non-monotone_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.3,0]","[-0.1,0]","[0.1,0]","[-0.5,0]","[0.5,0]",c,1,1.990999937,1,0,8,3,1,7,monotonicity_b4_non.xlsx,2,0,12,3,1,11,blue,blue,yellow,yellow,yellow,yellow,c,non,yellow,5671f601980a3c000d27721c,male,23,2020-03-25_15h21.29.719,non-monotone_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[0.1,0]","[-0.3,0]","[0.3,0]","[-0.1,0]","[-0.5,0]",c,0,1.385999918,1,0,8,3,1,7,monotonicity_b4_non.xlsx,2,0,12,0,1,11,blue,blue,blue,blue,blue,yellow,m,non,yellow,5671f601980a3c000d27721c,male,23,2020-03-25_15h21.29.719,non-monotone_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.3,0]","[-0.1,0]","[0.5,0]","[-0.5,0]","[0.1,0]",c,0,2.458999872,1,0,8,3,1,7,monotonicity_b4_non.xlsx,2,0,12,5,1,11,yellow,yellow,yellow,yellow,yellow,yellow,m,non,yellow,5671f601980a3c000d27721c,male,23,2020-03-25_15h21.29.719,non-monotone_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[0.5,0]","[0.3,0]","[-0.3,0]","[-0.1,0]","[-0.5,0]",m,1,1.210999966,1,0,8,3,1,7,monotonicity_b4_non.xlsx,2,0,12,5,1,11,yellow,yellow,yellow,yellow,yellow,yellow,m,non,yellow,5671f601980a3c000d27721c,male,23,2020-03-25_15h21.29.719,non-monotone_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[-0.3,0]","[-0.1,0]","[0.1,0]","[-0.5,0]","[0.3,0]",m,1,2.06099987,1,0,8,3,1,7,monotonicity_b4_non.xlsx,2,0,12,0,1,11,blue,blue,blue,blue,blue,yellow,m,non,yellow,5671f601980a3c000d27721c,male,23,2020-03-25_15h21.29.719,non-monotone_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[-0.1,0]","[0.1,0]","[0.3,0]","[-0.5,0]","[0.5,0]",m,0,1.220000029,1,0,8,3,1,7,monotonicity_b4_non.xlsx,2,0,12,3,1,11,blue,blue,yellow,yellow,yellow,yellow,c,non,yellow,5671f601980a3c000d27721c,male,23,2020-03-25_15h21.29.719,non-monotone_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[-0.5,0]","[0.1,0]","[0.5,0]","[0.3,0]","[-0.1,0]",c,1,0.815000057,1,0,8,3,1,7,monotonicity_b4_non.xlsx,2,0,12,2,1,11,blue,blue,blue,yellow,yellow,yellow,c,non,yellow,5671f601980a3c000d27721c,male,23,2020-03-25_15h21.29.719,non-monotone_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
